Gene,Virulence_factor,Species
ibeB, Invasion ,VFC0083)] [Escherichia coli O45:K1:H7 str. S88]
hspX, Stress survival ,VFC0282)] [Mycobacterium tuberculosis H37Rv]
psaA, Adherence ,VFC0001)] [Yersinia pestis CO92]
fbpB, Adherence ,VFC0001)] [Mycobacterium tuberculosis H37Rv]
fbpC, Adherence ,VFC0001)] [Mycobacterium tuberculosis H37Rv]
esxH, Effector delivery system ,VFC0086)] [Mycobacterium tuberculosis H37Rv]
fbpA, Adherence ,VFC0001)] [Mycobacterium tuberculosis H37Rv]
icl, Others ,VFC0346)] [Mycobacterium tuberculosis H37Rv]
msbB, Immune modulation ,VFC0258)] [Haemophilus influenzae Rd KW20]
eltA, Exotoxin ,VFC0235)] [Escherichia coli O78:H11:K80 str. H10407]
eltB, Exotoxin ,VFC0235)] [Escherichia coli O78:H11:K80 str. H10407]
mbtG, Nutritional/Metabolic factor ,VFC0272)] [Mycobacterium tuberculosis H37Rv]
relA, Regulation ,VFC0301)] [Mycobacterium tuberculosis H37Rv]
icaA, Biofilm ,VFC0271)] [Staphylococcus aureus subsp. aureus MW2]
icaD, Biofilm ,VFC0271)] [Staphylococcus aureus subsp. aureus MW2]
icaB, Biofilm ,VFC0271)] [Staphylococcus aureus subsp. aureus MW2]
icaC, Biofilm ,VFC0271)] [Staphylococcus aureus subsp. aureus MW2]
hmw1A, Adherence ,VFC0001)] [Haemophilus influenzae str. 12]
hmw1B, Adherence ,VFC0001)] [Haemophilus influenzae str. 12]
hmw2A, Adherence ,VFC0001)] [Haemophilus influenzae str. 12]
hmw2B, Adherence ,VFC0001)] [Haemophilus influenzae str. 12]
oapA, Adherence ,VFC0001)] [Haemophilus influenzae Rd KW20]
ompP5, Adherence ,VFC0001)] [Haemophilus influenzae Rd KW20]
ompP2, Immune modulation ,VFC0258)] [Haemophilus influenzae Rd KW20]
lpt6, Immune modulation ,VFC0258)] [Haemophilus influenzae Rd KW20]
lpxD, Immune modulation ,VFC0258)] [Haemophilus influenzae Rd KW20]
lpxC, Immune modulation ,VFC0258)] [Haemophilus influenzae Rd KW20]
ureE, Stress survival ,VFC0282)] [Helicobacter pylori 26695]
ureF, Stress survival ,VFC0282)] [Helicobacter pylori 26695]
ureG, Stress survival ,VFC0282)] [Helicobacter pylori 26695]
ureH, Stress survival ,VFC0282)] [Helicobacter pylori 26695]
